,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
10,1553641974648807427,1553641974648807427,1659252086000.0,2022-07-31 12:51:26,+0530,,"Ame: ""Goobye...!"" (turns her t-posed model to the side, ""walks"" it off-screen, snickers, ends stream)  absolutely fucking kino, my spirits have been lifted; thank you, Ame... you're the best fr fr...!! 🥹💛💛💛  https://t.co/NEpdnvcovC",en,[],[],1322412975865487360,1322412975865487360,alfa_hatdog,🌭 AlfaHatdog 🔎🔱,7,12,https://twitter.com/alfa_hatdog/status/1553641974648807427,[],['https://pbs.twimg.com/media/FY-k3AkVQAAyutO.jpg'],1,https://pbs.twimg.com/media/FY-k3AkVQAAyutO.jpg,False,118,0,13,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
11,1553638571235414016,1553638571235414016,1659251275000.0,2022-07-31 12:37:55,+0530,,"#ShamitaShetty Life is tricky baby, stay in your magic 💞✨ . . Outfit - @punitbalanaofficial  Styling by -@stylebysaachivj Hair - @hairnmakeup.farzana @kromakaysalon  Make up - @shaylinayak  Managed by - @bethetribe  #shootdiaries #outdoorshoot #musicvideo #peace #happiness  https://t.co/ChXzj1TzC5",en,"['shamitashetty', 'shootdiaries', 'outdoorshoot', 'musicvideo', 'peace', 'happiness']",[],1230167459388362752,1230167459388362752,DMovieUpdates,Daily Movie Updates,7,12,https://twitter.com/DMovieUpdates/status/1553638571235414016,[],['https://pbs.twimg.com/media/FY-iCFbUIAA_9_a.jpg'],1,https://pbs.twimg.com/media/FY-iCFbUIAA_9_a.jpg,False,55,3,37,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
12,1553635128730984449,1553635128730984449,1659250454000.0,2022-07-31 12:24:14,+0530,,ยืนเล่นยังไงให้เหมือนถ่ายแบบ แม้จะมุมเผลอก็ดูดีสุดๆ สุดจะบรรยาย ความ model นี้ 💯✨🥺 @gulfkanawut   #TGmeawxMG  https://t.co/m4ojW3Ozsb,th,['tgmeawxmg'],[],164921006,164921006,TGmeaw,🅣🅖 𝓶𝓮𝓪𝔀 🌻 • sǝı̣ɹoɯǝɯ dǝǝʞ,7,12,https://twitter.com/TGmeaw/status/1553635128730984449,[],['https://pbs.twimg.com/media/FY-e6cjUEAA2ZhT.jpg'],1,https://pbs.twimg.com/media/FY-e6cjUEAA2ZhT.jpg,False,226,0,150,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
13,1553615855899910147,1553615855899910147,1659245859000.0,2022-07-31 11:07:39,+0530,,#Liger @TheDeverakonda looks stylish and suave in classy outfit.🔥❤️ from the sets of #KoffeewithKaranSeason7  #VijayDeverakonda  https://t.co/XD9qOBp9Fm,en,"['liger', 'koffeewithkaranseason7', 'vijaydeverakonda']",[],782462962401316864,782462962401316864,UrsVamsiShekar,𝐕𝐚𝐦𝐬𝐢𝐒𝐡𝐞𝐤𝐚𝐫,7,11,https://twitter.com/UrsVamsiShekar/status/1553615855899910147,[],"['https://pbs.twimg.com/media/FY-NX05aUAAvdbs.jpg', 'https://pbs.twimg.com/media/FY-NYDbaMAArk0P.jpg', 'https://pbs.twimg.com/media/FY-NYYeacAAm7MG.jpg', 'https://pbs.twimg.com/media/FY-NYuiakAEymzY.jpg']",1,https://pbs.twimg.com/media/FY-NX05aUAAvdbs.jpg,False,68,0,17,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
14,1553615290013224960,1553615290013224960,1659245724000.0,2022-07-31 11:05:24,+0530,,.@TheDeverakonda looks stylish and suave in classy outfit🔥❤️   Straight from sets of #KoffeewithKaranSeason7   #VijayDeverakonda #AnanyaPanday #Liger  https://t.co/19sH4HMGlr,en,"['koffeewithkaranseason7', 'vijaydeverakonda', 'ananyapanday', 'liger']",[],1290527054,1290527054,shreyasgroup,Shreyas Media,7,11,https://twitter.com/shreyasgroup/status/1553615290013224960,[],"['https://pbs.twimg.com/media/FY-M27aakAEI7Gx.jpg', 'https://pbs.twimg.com/media/FY-M3MgaIAAGj8C.jpg', 'https://pbs.twimg.com/media/FY-M3h-akAIw_SM.jpg', 'https://pbs.twimg.com/media/FY-M3ynaQAARXwW.jpg']",1,https://pbs.twimg.com/media/FY-M27aakAEI7Gx.jpg,False,73,0,12,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
15,1553614565811691520,1553614565811691520,1659245551000.0,2022-07-31 11:02:31,+0530,,#Liger @TheDeverakonda looks stylish and suave in classy outfit.🔥❤️ Straight from sets of #KoffeewithKaranSeason7  #VijayDeverakonda  https://t.co/D8pOpOtZyS,en,"['liger', 'koffeewithkaranseason7', 'vijaydeverakonda']",[],175331127,175331127,baraju_SuperHit,BA Raju's Team,7,11,https://twitter.com/baraju_SuperHit/status/1553614565811691520,[],"['https://pbs.twimg.com/media/FY-MMtQVsAAaAds.jpg', 'https://pbs.twimg.com/media/FY-MNAQVUAAVSKr.jpg', 'https://pbs.twimg.com/media/FY-MNR1UUAITcUk.jpg', 'https://pbs.twimg.com/media/FY-MNoUUIAA_pCr.jpg']",1,https://pbs.twimg.com/media/FY-MMtQVsAAaAds.jpg,False,119,0,16,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
16,1553613891250561025,1553613891250561025,1659245391000.0,2022-07-31 10:59:51,+0530,,#Liger @TheDeverakonda looks stylish and suave in classy outfit.🔥❤️ Straight from sets of #KoffeewithKaranSeason7  #VijayDeverakonda  https://t.co/PmivWmrG5i,en,"['liger', 'koffeewithkaranseason7', 'vijaydeverakonda']",[],199281395,199281395,SureshKondi_,Suresh Kondi,7,10,https://twitter.com/SureshKondi_/status/1553613891250561025,[],"['https://pbs.twimg.com/media/FY-LjG_aIAAFGdp.jpg', 'https://pbs.twimg.com/media/FY-LkD8aQAImQnO.jpg', 'https://pbs.twimg.com/media/FY-Lk3hacAAkExy.jpg', 'https://pbs.twimg.com/media/FY-Ll06aAAIc6HP.jpg']",1,https://pbs.twimg.com/media/FY-LjG_aIAAFGdp.jpg,False,121,1,21,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
17,1553612293753442305,1553612293753442305,1659245010000.0,2022-07-31 10:53:30,+0530,,"Japanese second-tier outfit managed by former Pune City tactician Ranko Popovic🇷🇸 is looking to sign the 20-year-old Indian defender on a permanent transfer &amp; is willing to pay the transfer fee, Halfway Football can confirm 🇯🇵🔥⏳  #Transfers #ISL #HalfwayFootball #IndianFootball  https://t.co/ybuE6YWyc3",en,"['transfers', 'isl', 'halfwayfootball', 'indianfootball']",[],1288705438888808448,1288705438888808448,HalfwayFootball,Halfway Football,7,10,https://twitter.com/HalfwayFootball/status/1553612293753442305,[],['https://pbs.twimg.com/media/FY-KJWHakAAPlC1.jpg'],1,https://pbs.twimg.com/media/FY-KJWHakAAPlC1.jpg,False,565,8,40,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
18,1553608942449999872,1553608942449999872,1659244211000.0,2022-07-31 10:40:11,+0530,,A complete case study of a disastrous business model failure  Thread on the story of the Rise and Fall  of Kingfisher Airlines  Kindly re-tweet to help us educate more investors🧵👇  https://t.co/kCt7LZ1Xrk,en,[],[],2317300873,2317300873,stockifi_Invest,Abhijit Chokshi | Investors का दोस्त,7,10,https://twitter.com/stockifi_Invest/status/1553608942449999872,[],['https://pbs.twimg.com/media/FY-B1FJacAAJukw.jpg'],1,https://pbs.twimg.com/media/FY-B1FJacAAJukw.jpg,False,81,4,26,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
19,1553601999337164800,1553601999337164800,1659242555000.0,2022-07-31 10:12:35,+0530,,At the @iiiaaward last night 🌟 @eventzfactory @mid_day @brandbantermedia . Outfit @ksaini52 Jewellery @jewellery_by_sonam Hair @kalyani  #love #blue  https://t.co/aQUzmO4T3B,en,"['love', 'blue']",[],345241224,345241224,Flora_Saini,FLORA SAINI,7,10,https://twitter.com/Flora_Saini/status/1553601999337164800,[],"['https://pbs.twimg.com/media/FY-AxLvaUAAs6D8.jpg', 'https://pbs.twimg.com/media/FY-Axe3aUAAEjf3.jpg', 'https://pbs.twimg.com/media/FY-AxxnaAAAed0o.jpg', 'https://pbs.twimg.com/media/FY-AyIfagAEACxa.jpg']",1,https://pbs.twimg.com/media/FY-AxLvaUAAs6D8.jpg,False,144,4,10,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
